Titre;descriptif du projet;Nature;Thématiques;Etat de la consultation publique;Type de procédure;Maîtrise d’ouvrage;Auteur;Nom du bureau d’étude;Diffuseur;Date de diffusion;Source;Date avis publication;departement_de_la_prefecture;dateouverture;datefermeture;SIREN
Urbanisation du Secteur des Argoults à Jarzé-Villages;;Autres;AUTRES;Fermé;Déclaration d'utilité publique (DUP);Anjou Loire Territoire ALTER Cités;Anjou Loire Territoire ALTER Cités;;CGDD - MTES;2017-01-06T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Dépôt de ferrailles - régularisation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Association EMMAUS du Cotentin;Association EMMAUS du Cotentin;;CGDD - MTES;2008-04-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Dépôt de ferrailles - régularisation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL SIRCO;SARL SIRCO;;CGDD - MTES;2007-04-10T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Elevage avicole - extension;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL LA CROIX;EARL LA CROIX;;CGDD - MTES;2013-11-29T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Création d'une carrière de matériaux alluvionnaires ( ICPE 2005-612);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société Louis Thiriet &Cie;Société Louis Thiriet &Cie;;CGDD - MTES;2013-04-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
GAZ DE FRANCE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAZ DE FRANCE;GAZ DE FRANCE;;CGDD - MTES;2008-01-17T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
ZAC TESAN PLAN SUD;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Autre;Communauté de communes Côte du Rhône Gardoise;Communauté de communes Côte du Rhône Gardoise;;CGDD - MTES;2012-09-10T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de porcs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Laurent GUIOUILLIER;Laurent GUIOUILLIER;;CGDD - MTES;2008-09-16T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation d'exploiter un centre de stockage, dépollution et déconstruction de véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;PIECES AUTO LAURENT;PIECES AUTO LAURENT;;CGDD - MTES;2008-04-21T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Dépôt de ferrailles - régularisation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL SIRCO;SARL SIRCO;;CGDD - MTES;2007-04-10T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
DEMANDE D'AUTORISATION DE LA STE VON ROLL FRANCE A REGULARISER LA SITUATION DES ADMINISTRATIVES DES ACTIVITES DE SON ETS RESINES SITUE A MEYZIEU;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;VON ROLL FRANCE;VON ROLL FRANCE;;CGDD - MTES;2009-12-17T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Arrêté préfectoral autorisant la Société MARTIN ENVIRONNEMENT à exploiter le centre de transit et de regroupement de déchets industriels dangereux situé sur le territoire de la commune de CHEVILLY;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société MARTIN ENVIRONNEMENT;Société MARTIN ENVIRONNEMENT;;CGDD - MTES;2010-07-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
ZAC CARRIERE DES AMOUREUX;;Création de ZAC;URBANISME ET CONSTRUCTION;Fermé;Autre;commune de Garons;commune de Garons;;CGDD - MTES;2012-09-10T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension (regroupement de cheptel) d'un élevage bovin et exploitation d'un élevage porcin;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC PLUSQUELLEC;GAEC PLUSQUELLEC;;CGDD - MTES;2009-12-17T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation pour une durée de six mois à compter du 15 août 2012 d'une centrale mobile d'enrobage à chaud de matériaux routiers;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société COLAS EST - Centre de Sarrebourg;Société COLAS EST - Centre de Sarrebourg;;CGDD - MTES;2012-08-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SAFFRAY BERTRAND;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAFFRAY Bertrand;SAFFRAY Bertrand;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Plate forme logistique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A. PERCIER REALISATION ET DEVELOPPEMENT;S.A. PERCIER REALISATION ET DEVELOPPEMENT;;CGDD - MTES;2008-10-16T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
DEMANDE D'AUTORISATION D'EXPLOITER UN ELEVAGE BOVIN PAR LE GAEC DE LA CENDE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DE LA CENDE;GAEC DE LA CENDE;;CGDD - MTES;2010-12-29T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation des installations de fabrication de parquets;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA PARQUETS MARTY;SA PARQUETS MARTY;;CGDD - MTES;2009-08-06T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploitation et agrément des installations de dépollution et de démontage de VHU;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;CASSE AUTOS TCHIJAKOFF;CASSE AUTOS TCHIJAKOFF;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Augmentation de la capacité de stockage de liquides inflammables - SAS JT LOGISTIC;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS JT LOGISTIC;SAS JT LOGISTIC;;CGDD - MTES;2012-09-14T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Aménagement du côteau Driant par un lotissement d'habitations et d'un EHPAD à ARS-SUR-MOSELLE;;Aménagements fonciers agricoles et forestiers;AGRICULTURE, SYLVICULTURE ET PÊCHE;Fermé;Déclaration d'utilité publique (DUP);Etablissement public foncier de Lorraine;Etablissement public foncier de Lorraine;;CGDD - MTES;2015-03-18T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
fabrication de laine de verre;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A. SAINT-GOBAIN ISOVER;S.A. SAINT-GOBAIN ISOVER;;CGDD - MTES;2008-10-14T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Carrière - autorisation complémentaire d'exploitation;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS M. MANGEAS;SAS M. MANGEAS;;CGDD - MTES;2012-09-28T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de porcs par restructuration externe et d'un élevage de vaches laiitères;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL KERVEILLANT;EARL KERVEILLANT;;CGDD - MTES;2011-09-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Modification des conditions d'exploitation de l'installation de stockage de déchets non dangereux de BENAC;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS SOVAL;SAS SOVAL;;CGDD - MTES;2010-01-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
autorisation d'exploiter une activité de maintenance et d'aménagement d'avions gros porteurs à la Société AMAC AEROSPACE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société AMAC AEROSPACE AG;Société AMAC AEROSPACE AG;;CGDD - MTES;2009-06-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
GDE;;Aménagements fonciers agricoles et forestiers;AGRICULTURE, SYLVICULTURE ET PÊCHE;Fermé;Autorisation au titre du code de l'environnement;GDE;GDE;;CGDD - MTES;2008-02-11T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
laiterie spécialisée;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCA MAITRES LAITIERS DU COTENTIN;SCA MAITRES LAITIERS DU COTENTIN;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Plate-forme logistique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL IMMOTROYES 1;SARL IMMOTROYES 1;;CGDD - MTES;2009-06-09T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Extension d'un élevage de vaches laitières;;Installations classées;ENVIRONNEMENT;Fermé;Autre;GAEC DE LOPRE;GAEC DE LOPRE;;CGDD - MTES;2011-09-30T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une carrière de roches massives;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Socété SAFAC;Socété SAFAC;;CGDD - MTES;2008-06-25T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
station transit de produits minéraux;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA DTP TERRASSEMENT;SA DTP TERRASSEMENT;;CGDD - MTES;2007-07-05T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Restructuration de l'élevage bovin et porcin exploité à PLOUVIEN par l'EARL DE QUILLIFREOC;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL DE QUILLIFREOC;EARL DE QUILLIFREOC;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Demande d'autorisation d'exploiter une unité de biométhanisation et de cogénération;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;MARNAY ENERGIE SAS;MARNAY ENERGIE SAS;;CGDD - MTES;2014-01-14T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Syndicat des ordures ménagères (SOMEL) Exploitation installation transit de déchets ménagers et assimilés;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Syndicat des ordures ménagères d'Eure-et-Loir (SOMEL);Syndicat des ordures ménagères d'Eure-et-Loir (SOMEL);;CGDD - MTES;2007-07-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Projet Eole;;Voies ferrées;TRANSPORTS;Fermé;Déclaration d'utilité publique (DUP);RFF;RFF;;CGDD - MTES;2013-03-06T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Centre de tri;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société COVED;Société COVED;;CGDD - MTES;2008-12-18T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
S.A.S. S.T.D.N. Logistique;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;S.A.S.  S.T.D.N. Logistique;S.A.S.  S.T.D.N. Logistique;;CGDD - MTES;2007-04-26T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
centre commercial et station service;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA AUCHAN;SA AUCHAN;;CGDD - MTES;2007-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
EXPLOITATION D'UNE ICPE (PORCGROS);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;PORCGROS S.A.;PORCGROS S.A.;;CGDD - MTES;2007-11-13T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
SA ROUSSALY - Autorisation d'augmenter la capacité de production dans une entreprise de découpe de porcs;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SA ROUSSALY;SA ROUSSALY;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
AMENAGEMENT DE LA ZONE DE DEPART DU TELECABINE DU PLA D'ADET A VIGNEC PAR LA COMMUNE DE VIGNEC;;Remontées mécaniques;TRANSPORTS;Fermé;Déclaration d'utilité publique (DUP);COMMUNE DE VIGNEC;COMMUNE DE VIGNEC;;CGDD - MTES;2012-09-10T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Arrêté autorisant la SCI PROLOGIS à poursuivre et à étendre l'exploitation de ses activités d'entreposage excercées Parc d'Activités Ormes/Saran, rue Passée à Balance sur le territoire de la commune d'Ormes;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCI PROLOGIS;SCI PROLOGIS;;CGDD - MTES;2013-11-12T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
régularisation administrative exploitation et augmentation effectif élevage bovins;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;GAEC DESLIS;GAEC DESLIS;;CGDD - MTES;2009-09-22T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Atelier de maroquinerie (atelier n°1);;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Ateliers Louis VUITTON;Ateliers Louis VUITTON;;CGDD - MTES;2015-02-16T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
RICHARD Karine SCEA CANELAND;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Mme Karine RICHARD SCEA CANELAND;Mme Karine RICHARD SCEA CANELAND;;CGDD - MTES;2008-11-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une sablière;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL LES MATERIAUX DE L'OUST;SARL LES MATERIAUX DE L'OUST;;CGDD - MTES;2007-05-23T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SCE LA BREHARDIERE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code rural ou forestier;SCE LA BREHARDIERE;SCE LA BREHARDIERE;;CGDD - MTES;2013-09-13T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
extension d'une unité de traitement de surface et de thermolaquage de profilés en aluminium;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société FRANCE ALU COLOR;Société FRANCE ALU COLOR;;CGDD - MTES;2010-03-25T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
MM CANTAU Francis COSTEDOAT Francis et Julien LAHITTE Jean-Christophe EARL BOLAVER à OSSAGES;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EARL BOLAVER A OSSAGES;EARL BOLAVER A OSSAGES;;CGDD - MTES;2009-10-13T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Stockage et récupération de véhicules hors d'usage;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAZEC;SAZEC;;CGDD - MTES;2013-06-27T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
RENOUVELLEMENT DE L'AUTORISATION D'EXPLOITER ET EXTENSION D'UNE CARRIERE A CIEL OUVERT DE CALCAIRE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL CARRIERES DE CASSAGNES GOUTRENS;SARL CARRIERES DE CASSAGNES GOUTRENS;;CGDD - MTES;2008-11-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Exploitation du'n dépôt de ferrailles et demande d'agrément VHU;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Société LB PIECES AUTO;Société LB PIECES AUTO;;CGDD - MTES;2011-01-17T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
agrandissement du zoo;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SARL NATUR'ZOO;SARL NATUR'ZOO;;CGDD - MTES;2013-08-02T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Entrepôt de pièces froides de centrales nucléaires;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;EDF DPI;EDF DPI;;CGDD - MTES;2010-04-01T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
LES VIGNERONS LANDAIS TURSAN CHALOSSE;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;LES VIGNERONS LANDAIS TURSAN CHALOSSE;LES VIGNERONS LANDAIS TURSAN CHALOSSE;;CGDD - MTES;2011-02-10T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
Adaptation port de Cherbourg-amélioration accès nautiques et extensions des terres-pleins portuaires;;Ports maritimes de commerce ou de pêche;TRANSPORTS;Fermé;Autorisation au titre du code de l'environnement;Syndicat Mixte régional des ports de Caen-Ouistreham et Cherbourg;Syndicat Mixte régional des ports de Caen-Ouistreham et Cherbourg;;CGDD - MTES;2014-01-24T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
scierie;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;Association pour Adultes et Jeunes Handicapés;Association pour Adultes et Jeunes Handicapés;;CGDD - MTES;2013-07-29T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
Autorisation d'exploiter un établissement de stockage et de distribution en gros d'équipements automobiles;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code minier;Société COPADEX SAS;Société COPADEX SAS;;CGDD - MTES;2009-11-05T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
exploitation d'une cave vinicole + épandage des effluents;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SCA LES VIGNERONS REUNIS DE LA CAVE DE LUMIERES;SCA LES VIGNERONS REUNIS DE LA CAVE DE LUMIERES;;CGDD - MTES;2009-10-19T02:00:00+02:00;Fichier national Etudes d'impact - CGDD;;;;;
SAS HELIOS PERIERS;;Installations classées;ENVIRONNEMENT;Fermé;Autorisation au titre du code de l'environnement;SAS HELIOS PERIERS;SAS HELIOS PERIERS;;CGDD - MTES;2014-02-07T01:00:00+01:00;Fichier national Etudes d'impact - CGDD;;;;;
